component_id,property_name,unit,numeric_value,text_value,source
354c24ec54c86c5a467dc86167d98e599733173f,Net weight [kg],kg,33.5,,building_blocks_cleaned.csv:43:property_3/value_3
d0b5c456cd40859981ea336b1ad5d188bcefa620,Scope,,,professional,building_blocks_cleaned.csv:44:property_1/value_1
d0b5c456cd40859981ea336b1ad5d188bcefa620,resolution,,,V20,building_blocks_cleaned.csv:44:property_2/value_2
d0b5c456cd40859981ea336b1ad5d188bcefa620,Light color,,,White,building_blocks_cleaned.csv:44:property_3/value_3
55dcd0f456f7418b413d2e2efce0a7c12a32686c,protocol,,,PROFINET,building_blocks_cleaned.csv:45:property_1/value_1
e3108b3be3992552bb180a4f45f22e8d6eb29911,contact person,,,REZ,building_blocks_cleaned.csv:46:property_1/value_1
14ee70fa3b4dfc3e55a00fa7f79a8eaafb8019a8,contact person,,,REZ,building_blocks_cleaned.csv:47:property_1/value_1
474e4b87d3d0bb7ea9f340a259a606ddf87230a1,contact person,,,REZ,building_blocks_cleaned.csv:48:property_1/value_1
f429f7246144301473583165a5929dbbc7e8bf0e,contact person,,,REZ,building_blocks_cleaned.csv:49:property_1/value_1
790c956aaa99a342261bef2f3a7aa1baee63aa98,contact person,,,REZ,building_blocks_cleaned.csv:50:property_1/value_1
7a447d7f31176c2dbb431d3ce465cefe6cad34d6,contact person,,,REZ,building_blocks_cleaned.csv:51:property_1/value_1
9881315bd958a0b36618dfbb67ee9fd5143c3167,contact person,,,REZ,building_blocks_cleaned.csv:52:property_1/value_1
4edf3db6658a5cb259747eaa4307f60cbcd04ba1,contact person,,,KIH,building_blocks_cleaned.csv:53:property_1/value_1
63d96a453cff7db8cc5442dc63ce0d9c77b90bac,contact person,,,THP,building_blocks_cleaned.csv:54:property_1/value_1
63d96a453cff7db8cc5442dc63ce0d9c77b90bac,version,,,V18 Update 3,building_blocks_cleaned.csv:54:property_2/value_2
63d96a453cff7db8cc5442dc63ce0d9c77b90bac,Library compliance,,,Yes,building_blocks_cleaned.csv:54:property_3/value_3
496fc5c4447fa3813d35b8b8f6b7fed45e49d4c4,contact person,,,THP,building_blocks_cleaned.csv:55:property_1/value_1
496fc5c4447fa3813d35b8b8f6b7fed45e49d4c4,version,,,V18 Update 3,building_blocks_cleaned.csv:55:property_2/value_2
496fc5c4447fa3813d35b8b8f6b7fed45e49d4c4,Library compliance,,,Yes,building_blocks_cleaned.csv:55:property_3/value_3
ad74f63ba2869951569f7dce1531a64b278e8543,contact person,,,THP,building_blocks_cleaned.csv:56:property_1/value_1
ad74f63ba2869951569f7dce1531a64b278e8543,version,,,V18 Update 3,building_blocks_cleaned.csv:56:property_2/value_2
ad74f63ba2869951569f7dce1531a64b278e8543,Library compliance,,,Yes,building_blocks_cleaned.csv:56:property_3/value_3
f85a09ad76bb83a2f15bd59854e2e37381dc25ee,contact person,,,THP,building_blocks_cleaned.csv:57:property_1/value_1
f85a09ad76bb83a2f15bd59854e2e37381dc25ee,version,,,V18 Update 3,building_blocks_cleaned.csv:57:property_2/value_2
f85a09ad76bb83a2f15bd59854e2e37381dc25ee,Library compliance,,,Yes,building_blocks_cleaned.csv:57:property_3/value_3
356317a9b2ae75b8e0176d16f6385cc80b8eb967,contact person,,,THP,building_blocks_cleaned.csv:58:property_1/value_1
356317a9b2ae75b8e0176d16f6385cc80b8eb967,version,,,V18 Update 3,building_blocks_cleaned.csv:58:property_2/value_2
356317a9b2ae75b8e0176d16f6385cc80b8eb967,Library compliance,,,Yes,building_blocks_cleaned.csv:58:property_3/value_3
4190bb97b33bd943bee62609dda3d6a001437408,contact person,,,THP,building_blocks_cleaned.csv:59:property_1/value_1
4190bb97b33bd943bee62609dda3d6a001437408,version,,,V18 Update 3,building_blocks_cleaned.csv:59:property_2/value_2
4190bb97b33bd943bee62609dda3d6a001437408,Library compliance,,,Yes,building_blocks_cleaned.csv:59:property_3/value_3
3a9b24dde1cbd0bf98911c6fe46c1709132b5b1c,contact person,,,THP,building_blocks_cleaned.csv:60:property_1/value_1
3a9b24dde1cbd0bf98911c6fe46c1709132b5b1c,version,,,V18 Update 3,building_blocks_cleaned.csv:60:property_2/value_2
3a9b24dde1cbd0bf98911c6fe46c1709132b5b1c,Library compliance,,,Yes,building_blocks_cleaned.csv:60:property_3/value_3
c4977f31949d2fb55d30d2441015e67cf2f2be67,contact person,,,THP,building_blocks_cleaned.csv:61:property_1/value_1
c4977f31949d2fb55d30d2441015e67cf2f2be67,version,,,V18 Update 3,building_blocks_cleaned.csv:61:property_2/value_2
c4977f31949d2fb55d30d2441015e67cf2f2be67,Library compliance,,,Yes,building_blocks_cleaned.csv:61:property_3/value_3
5de395c32bcdb1525154a5028f6d9e69b7c72b8e,contact person,,,THP,building_blocks_cleaned.csv:62:property_1/value_1
5de395c32bcdb1525154a5028f6d9e69b7c72b8e,version,,,V18 Update 3,building_blocks_cleaned.csv:62:property_2/value_2
5de395c32bcdb1525154a5028f6d9e69b7c72b8e,Library compliance,,,Yes,building_blocks_cleaned.csv:62:property_3/value_3
0a2b6795d4be2582f483c82419b91665eed09e18,contact person,,,THP,building_blocks_cleaned.csv:63:property_1/value_1
0a2b6795d4be2582f483c82419b91665eed09e18,version,,,V18 Update 3,building_blocks_cleaned.csv:63:property_2/value_2
0a2b6795d4be2582f483c82419b91665eed09e18,Library compliance,,,Yes,building_blocks_cleaned.csv:63:property_3/value_3
8b8553c65d2fc7e5bcde12252aa3bd031e1a0a96,protocol,,,IO-LINK,building_blocks_cleaned.csv:64:property_1/value_1
31a63cce6d29ea11ecad8f8ebc75f5e5c7e82f68,reach,,,0.03-1.5 m,building_blocks_cleaned.csv:65:property_1/value_1
31a63cce6d29ea11ecad8f8ebc75f5e5c7e82f68,Connection,,,"M12x1, X-pin, A-coded",building_blocks_cleaned.csv:65:property_2/value_2
31a63cce6d29ea11ecad8f8ebc75f5e5c7e82f68,Light type,,,red light,building_blocks_cleaned.csv:65:property_3/value_3
0ed69b0570f465b091cf7ba807461496c493850d,Position,,,Horizontal,building_blocks_cleaned.csv:66:property_1/value_1
0ed69b0570f465b091cf7ba807461496c493850d,Orientation,,,Standing,building_blocks_cleaned.csv:66:property_2/value_2
4b7308aeb493bbd69c9a0f035a371e8213490841,Type,,,Vacuum generator,building_blocks_cleaned.csv:67:property_1/value_1
4b7308aeb493bbd69c9a0f035a371e8213490841,Fastening,,,To robots,building_blocks_cleaned.csv:67:property_2/value_2
e28e29c6fcc5d2e2fcd3201049139b2f0a6ce27d,workpiece,,,labels,building_blocks_cleaned.csv:68:property_1/value_1
e28e29c6fcc5d2e2fcd3201049139b2f0a6ce27d,Robot type,,,KUKA KR 4 R600,building_blocks_cleaned.csv:68:property_2/value_2
e28e29c6fcc5d2e2fcd3201049139b2f0a6ce27d,Additional function,,,pressure brush,building_blocks_cleaned.csv:68:property_3/value_3
0711ea8e0557132ea2df3a14396d735e09d615d6,Position,,,Vertical,building_blocks_cleaned.csv:69:property_1/value_1
0711ea8e0557132ea2df3a14396d735e09d615d6,Orientation,,,Standing,building_blocks_cleaned.csv:69:property_2/value_2
07380a3482220dcea96d20b5c723f5f7db69cba7,contact person,,,NBR,building_blocks_cleaned.csv:70:property_1/value_1
07380a3482220dcea96d20b5c723f5f7db69cba7,version,,,V18 Update 3,building_blocks_cleaned.csv:70:property_2/value_2
07380a3482220dcea96d20b5c723f5f7db69cba7,Library compliance,,,Yes,building_blocks_cleaned.csv:70:property_3/value_3
2fee0f2d401e81b2e70bdc9e0b56a562bc908f4a,contact person,,,ST,building_blocks_cleaned.csv:71:property_1/value_1
2fee0f2d401e81b2e70bdc9e0b56a562bc908f4a,version,,,V18 Update 3,building_blocks_cleaned.csv:71:property_2/value_2
2fee0f2d401e81b2e70bdc9e0b56a562bc908f4a,Library compliance,,,Yes,building_blocks_cleaned.csv:71:property_3/value_3
